"year","state","ideology","total"
2000,"New Jersey","Racist Skinhead",1
2000,"New Jersey","White Nationalist",1
2000,"New Jersey",NA,4
2000,"New Mexico","Christian Identity",1
2000,"New Mexico","Neo-Nazi",2
2000,"New York","General Hate",1
2000,"New York","Ku Klux Klan",2
2000,"New York","Neo-Confederate",2
2000,"New York","Neo-Nazi",9
2000,"New York","Racist Skinhead",1
2000,"New York","White Nationalist",4
2000,"New York",NA,4
2000,"North Carolina","Christian Identity",2
2000,"North Carolina","Ku Klux Klan",4
2000,"North Carolina","Neo-Confederate",7
2000,"North Carolina","Neo-Nazi",7
2000,"North Carolina","White Nationalist",3
2000,"North Carolina",NA,3
2000,"North Dakota","Neo-Nazi",1
2000,"Ohio","General Hate",5
2000,"Ohio","Ku Klux Klan",9
2000,"Ohio","Neo-Nazi",10
2000,"Ohio","White Nationalist",2
2000,"Oklahoma","Christian Identity",1
2000,"Oklahoma","General Hate",1
2000,"Oklahoma","Ku Klux Klan",2
2000,"Oklahoma","Neo-Nazi",1
2000,"Oregon","Neo-Nazi",3
2000,"Oregon","Racist Skinhead",2
2000,"Pennsylvania","Christian Identity",1
2000,"Pennsylvania","General Hate",1
2000,"Pennsylvania","Ku Klux Klan",7
2000,"Pennsylvania","Neo-Nazi",11
2000,"Pennsylvania","Racist Skinhead",2
2000,"Pennsylvania","White Nationalist",2
2000,"Pennsylvania",NA,3
2000,"South Carolina","Ku Klux Klan",5
2000,"South Carolina","Neo-Confederate",3
2000,"South Carolina","Neo-Nazi",1
2000,"South Carolina","White Nationalist",1
2000,"South Carolina",NA,2
2000,"South Dakota","Neo-Nazi",1
2000,"Tennessee","Ku Klux Klan",3
2000,"Tennessee","Neo-Confederate",1
2000,"Tennessee","Neo-Nazi",5
2000,"Tennessee","White Nationalist",4
2000,"Tennessee",NA,1
2000,"Texas","Christian Identity",2
2000,"Texas","General Hate",1
2000,"Texas","Ku Klux Klan",5
2000,"Texas","Neo-Confederate",9
2000,"Texas","Neo-Nazi",14
2000,"Texas","Racist Skinhead",1
2000,"Texas","White Nationalist",2
2000,"Texas",NA,4
2000,"Utah","Neo-Nazi",3
2000,"Virginia","Anti-Immigrant",1
2000,"Virginia","Christian Identity",2
2000,"Virginia","General Hate",3
2000,"Virginia","Ku Klux Klan",7
2000,"Virginia","Neo-Confederate",5
2000,"Virginia","Neo-Nazi",2
2000,"Virginia","Racist Skinhead",1
2000,"Virginia","White Nationalist",3
2000,"Virginia",NA,2
2000,"Washington","Christian Identity",3
2000,"Washington","General Hate",2
2000,"Washington","Ku Klux Klan",2
2000,"Washington","Neo-Nazi",1
2000,"Washington","Racist Skinhead",3
2000,"Washington","White Nationalist",1
2000,"West Virginia","Hate Music",1
2000,"West Virginia","Neo-Nazi",2
2000,"Wisconsin","Ku Klux Klan",3
2000,"Wisconsin","Neo-Nazi",4
2000,"Wisconsin","Racist Skinhead",1
2000,"Wyoming","General Hate",1
2001,"Alabama","Christian Identity",2
2001,"Alabama","Ku Klux Klan",12
2001,"Alabama","Neo-Confederate",12
2001,"Alabama","Neo-Nazi",1
2001,"Alabama","Racist Skinhead",1
2001,"Alabama","White Nationalist",5
2001,"Alabama",NA,2
2001,"Alaska","Neo-Nazi",4
2001,"Arizona","Neo-Nazi",5
2001,"Arizona","Racist Skinhead",3
2001,"Arizona","White Nationalist",1
2001,"Arkansas","Christian Identity",3
2001,"Arkansas","Ku Klux Klan",5
2001,"Arkansas","Neo-Confederate",1
2001,"Arkansas","Neo-Nazi",2
2001,"Arkansas","Racist Skinhead",1
2001,"Arkansas","White Nationalist",1
2001,"California","Anti-Immigrant",1
2001,"California","General Hate",2
2001,"California","Holocaust Denial",1
2001,"California","Ku Klux Klan",1
2001,"California","Neo-Confederate",1
2001,"California","Neo-Nazi",22
2001,"California","Racist Skinhead",4
2001,"California","White Nationalist",2
2001,"California",NA,6
2001,"Colorado","Christian Identity",1
2001,"Colorado","Hate Music",1
2001,"Colorado","Neo-Nazi",4
2001,"Colorado","Racist Skinhead",1
2001,"Colorado","White Nationalist",1
2001,"Connecticut","Ku Klux Klan",1
2001,"Connecticut","Neo-Nazi",5
2001,"Delaware","Neo-Nazi",1
2001,"Delaware","Racist Skinhead",1
2001,"District of Columbia","White Nationalist",1
2001,"District of Columbia",NA,2
2001,"Florida","Christian Identity",2
2001,"Florida","Ku Klux Klan",2
2001,"Florida","Neo-Confederate",5
2001,"Florida","Neo-Nazi",17
2001,"Florida","Racist Skinhead",5
2001,"Florida","White Nationalist",9
2001,"Florida",NA,2
2001,"Georgia","Ku Klux Klan",2
2001,"Georgia","Neo-Confederate",17
2001,"Georgia","Neo-Nazi",5
2001,"Georgia","Racist Skinhead",1
2001,"Georgia","White Nationalist",3
2001,"Georgia",NA,2
2001,"Hawaii","White Nationalist",1
2001,"Idaho","Christian Identity",4
2001,"Idaho","Neo-Nazi",3
2001,"Idaho","Racist Skinhead",1
2001,"Idaho","White Nationalist",1
2001,"Illinois","Ku Klux Klan",3
2001,"Illinois","Neo-Nazi",12
2001,"Illinois","White Nationalist",3
2001,"Illinois",NA,1
2001,"Indiana","Ku Klux Klan",5
2001,"Indiana","Neo-Nazi",4
2001,"Indiana","Racist Skinhead",3
2001,"Indiana","White Nationalist",1
2001,"Iowa","Ku Klux Klan",1
2001,"Iowa","White Nationalist",2
2001,"Kansas","Anti-LGBTQ",1
2001,"Kansas","Ku Klux Klan",1
2001,"Kansas","Neo-Nazi",1
2001,"Kansas","Racist Skinhead",1
2001,"Kentucky","Christian Identity",2
2001,"Kentucky","Ku Klux Klan",4
2001,"Kentucky","Neo-Confederate",1
2001,"Kentucky","White Nationalist",1
2001,"Kentucky",NA,1
2001,"Louisiana","Ku Klux Klan",7
2001,"Louisiana","Neo-Confederate",2
2001,"Louisiana","Neo-Nazi",4
2001,"Louisiana","White Nationalist",3
2001,"Louisiana",NA,1
2001,"Maryland","Ku Klux Klan",1
2001,"Maryland","Neo-Nazi",4
2001,"Maryland","Racist Skinhead",2
2001,"Maryland",NA,1
2001,"Massachusetts","Neo-Nazi",6
2001,"Massachusetts","Racist Skinhead",1
2001,"Massachusetts",NA,1
2001,"Michigan","Christian Identity",1
2001,"Michigan","Ku Klux Klan",1
2001,"Michigan","Neo-Nazi",7
2001,"Michigan","Racist Skinhead",1
2001,"Michigan","White Nationalist",2
2001,"Michigan",NA,2
2001,"Minnesota","Christian Identity",1
2001,"Minnesota","General Hate",1
2001,"Minnesota","Neo-Nazi",6
2001,"Mississippi","Ku Klux Klan",7
2001,"Mississippi","Neo-Confederate",23
2001,"Mississippi","Neo-Nazi",1
2001,"Mississippi","White Nationalist",8
2001,"Mississippi",NA,1
2001,"Missouri","Christian Identity",1
2001,"Missouri","Ku Klux Klan",4
2001,"Missouri","Neo-Confederate",3
2001,"Missouri","Neo-Nazi",3
2001,"Missouri","Racist Skinhead",2
2001,"Missouri","White Nationalist",4
2001,"Missouri",NA,1
2001,"Montana","Christian Identity",1
2001,"Montana","Neo-Confederate",1
2001,"Montana","Neo-Nazi",2
2001,"Nebraska","Christian Identity",1
2001,"Nebraska","Ku Klux Klan",1
2001,"Nebraska","Neo-Nazi",2
2001,"Nevada","Neo-Nazi",4
2001,"Nevada","Racist Skinhead",1
2001,"Nevada",NA,1
2001,"New Hampshire","Neo-Nazi",1
2001,"New Jersey","Neo-Nazi",12
2001,"New Jersey","Racist Skinhead",2
2001,"New Jersey","White Nationalist",1
2001,"New Jersey",NA,4
2001,"New Mexico","Christian Identity",1
2001,"New Mexico","Neo-Nazi",1
2001,"New York","Ku Klux Klan",3
2001,"New York","Neo-Confederate",1
2001,"New York","Neo-Nazi",7
2001,"New York","Racist Skinhead",2
2001,"New York","White Nationalist",3
2001,"New York",NA,3
2001,"North Carolina","Ku Klux Klan",5
2001,"North Carolina","Neo-Confederate",7
2001,"North Carolina","Neo-Nazi",5
2001,"North Carolina","Racist Skinhead",1
2001,"North Carolina","White Nationalist",4
2001,"North Carolina",NA,1
2001,"North Dakota","Racist Skinhead",1
2001,"Ohio","General Hate",2
2001,"Ohio","Hate Music",1
2001,"Ohio","Ku Klux Klan",7
2001,"Ohio","Neo-Nazi",10
2001,"Ohio","Racist Skinhead",3
2001,"Ohio","White Nationalist",4
2001,"Ohio",NA,1
2001,"Oklahoma","Christian Identity",1
2001,"Oklahoma","General Hate",1
2001,"Oklahoma","Ku Klux Klan",2
2001,"Oregon","Neo-Nazi",3
2001,"Oregon","Racist Skinhead",5
2001,"Pennsylvania","Christian Identity",1
2001,"Pennsylvania","Ku Klux Klan",4
2001,"Pennsylvania","Neo-Nazi",16
2001,"Pennsylvania","Racist Skinhead",1
2001,"Pennsylvania","White Nationalist",1
2001,"Pennsylvania",NA,2
2001,"Rhode Island","Racist Skinhead",1
2001,"South Carolina","Ku Klux Klan",4
2001,"South Carolina","Neo-Confederate",22
2001,"South Carolina","Neo-Nazi",2
2001,"South Carolina","Racist Skinhead",1
2001,"South Carolina","White Nationalist",4
2001,"South Carolina",NA,2
2001,"South Dakota","Neo-Nazi",1
2001,"Tennessee","Christian Identity",3
2001,"Tennessee","Ku Klux Klan",5
2001,"Tennessee","Neo-Confederate",1
2001,"Tennessee","Neo-Nazi",3
2001,"Tennessee","White Nationalist",4
2001,"Tennessee",NA,1
2001,"Texas","Christian Identity",2
2001,"Texas","General Hate",1
2001,"Texas","Ku Klux Klan",9
2001,"Texas","Neo-Confederate",17
2001,"Texas","Neo-Nazi",12
2001,"Texas","Racist Skinhead",3
2001,"Texas","White Nationalist",2
2001,"Texas",NA,4
2001,"Utah","Neo-Nazi",1
2001,"Virginia","Anti-Immigrant",1
2001,"Virginia","Christian Identity",2
2001,"Virginia","General Hate",1
2001,"Virginia","Ku Klux Klan",7
2001,"Virginia","Neo-Confederate",8
2001,"Virginia","Neo-Nazi",4
2001,"Virginia","White Nationalist",4
2001,"Virginia",NA,2
2001,"Washington","Christian Identity",3
2001,"Washington","Neo-Nazi",2
2001,"Washington","Racist Skinhead",2
2001,"Washington","White Nationalist",3
2001,"West Virginia","Hate Music",1
2001,"West Virginia","Ku Klux Klan",1
2001,"West Virginia","Neo-Nazi",2
2001,"West Virginia","Racist Skinhead",1
2001,"Wisconsin","Ku Klux Klan",1
2001,"Wisconsin","Neo-Nazi",6
2001,"Wisconsin","Racist Skinhead",2
2001,"Wisconsin",NA,1
2001,"Wyoming","White Nationalist",1
2002,"Alabama","Christian Identity",2
2002,"Alabama","Ku Klux Klan",11
2002,"Alabama","Neo-Confederate",10
2002,"Alabama","Neo-Nazi",3
2002,"Alabama","White Nationalist",5
2002,"Alabama",NA,3
2002,"Alaska","Neo-Nazi",1
2002,"Arizona","Christian Identity",1
2002,"Arizona","General Hate",2
2002,"Arizona","Neo-Nazi",3
2002,"Arizona","White Nationalist",1
2002,"Arizona",NA,1
2002,"Arkansas","Christian Identity",4
2002,"Arkansas","Hate Music",1
2002,"Arkansas","Ku Klux Klan",7
2002,"Arkansas","Neo-Confederate",1
2002,"Arkansas","Neo-Nazi",5
2002,"Arkansas","Racist Skinhead",1
2002,"Arkansas","White Nationalist",1
2002,"Arkansas",NA,1
2002,"California","Anti-Immigrant",2
2002,"California","General Hate",7
2002,"California","Holocaust Denial",1
2002,"California","Ku Klux Klan",2
2002,"California","Neo-Nazi",20
2002,"California","Racist Skinhead",3
2002,"California","White Nationalist",2
2002,"California",NA,11
2002,"Colorado","Christian Identity",1
2002,"Colorado","Hate Music",1
2002,"Colorado","Neo-Nazi",2
2002,"Colorado",NA,2
2002,"Connecticut","Ku Klux Klan",1
2002,"Connecticut","Neo-Nazi",4
2002,"Connecticut","White Nationalist",1
2002,"Connecticut",NA,2
2002,"District of Columbia","Holocaust Denial",1
2002,"District of Columbia",NA,2
2002,"Florida","General Hate",2
2002,"Florida","Ku Klux Klan",5
2002,"Florida","Neo-Confederate",5
2002,"Florida","Neo-Nazi",23
2002,"Florida","Racist Skinhead",1
2002,"Florida","White Nationalist",6
2002,"Florida",NA,2
2002,"Georgia","Ku Klux Klan",9
2002,"Georgia","Neo-Confederate",8
2002,"Georgia","Neo-Nazi",5
2002,"Georgia","Racist Skinhead",2
2002,"Georgia","White Nationalist",1
2002,"Georgia",NA,6
2002,"Idaho","Christian Identity",2
2002,"Idaho","Neo-Nazi",6
2002,"Idaho","Racist Skinhead",1
2002,"Illinois","General Hate",1
2002,"Illinois","Ku Klux Klan",2
2002,"Illinois","Neo-Nazi",10
2002,"Illinois","White Nationalist",1
2002,"Illinois",NA,2
2002,"Indiana","General Hate",1
2002,"Indiana","Ku Klux Klan",4
2002,"Indiana","Neo-Nazi",4
2002,"Indiana","Racist Skinhead",1
2002,"Indiana","White Nationalist",1
2002,"Indiana",NA,1
2002,"Iowa","Ku Klux Klan",1
2002,"Iowa","Neo-Nazi",1
2002,"Iowa","White Nationalist",1
2002,"Kansas","Anti-LGBTQ",1
2002,"Kansas","Ku Klux Klan",1
2002,"Kansas","Neo-Nazi",2
2002,"Kansas","Racist Skinhead",1
2002,"Kentucky","Christian Identity",2
2002,"Kentucky","Ku Klux Klan",5
2002,"Kentucky","Neo-Confederate",1
2002,"Kentucky","Neo-Nazi",2
2002,"Kentucky","Racist Skinhead",1
2002,"Kentucky",NA,1
2002,"Louisiana","Christian Identity",1
2002,"Louisiana","Ku Klux Klan",5
2002,"Louisiana","Neo-Confederate",2
2002,"Louisiana","Neo-Nazi",3
2002,"Louisiana","White Nationalist",6
2002,"Louisiana",NA,3
2002,"Maine","Neo-Nazi",1
2002,"Maryland","Ku Klux Klan",1
2002,"Maryland","Neo-Nazi",7
2002,"Maryland","Racist Skinhead",2
2002,"Maryland","White Nationalist",1
2002,"Maryland",NA,1
2002,"Massachusetts","General Hate",1
2002,"Massachusetts","Neo-Nazi",7
2002,"Massachusetts",NA,2
2002,"Michigan","Christian Identity",2
2002,"Michigan","Ku Klux Klan",3
2002,"Michigan","Neo-Nazi",6
2002,"Michigan","Racist Skinhead",2
2002,"Michigan","White Nationalist",2
2002,"Michigan",NA,2
2002,"Minnesota","Christian Identity",2
2002,"Minnesota","General Hate",1
2002,"Minnesota","Neo-Nazi",4
2002,"Mississippi","General Hate",1
2002,"Mississippi","Ku Klux Klan",7
2002,"Mississippi","Neo-Confederate",5
2002,"Mississippi","Neo-Nazi",2
2002,"Mississippi","White Nationalist",10
2002,"Mississippi",NA,1
2002,"Missouri","Ku Klux Klan",1
2002,"Missouri","Neo-Confederate",3
2002,"Missouri","Neo-Nazi",3
2002,"Missouri","Racist Skinhead",3
2002,"Missouri","White Nationalist",4
2002,"Missouri",NA,2
2002,"Montana","Christian Identity",1
2002,"Montana","Neo-Confederate",1
2002,"Nebraska","Christian Identity",1
2002,"Nebraska","Ku Klux Klan",1
2002,"Nebraska","Neo-Nazi",1
2002,"Nebraska","Racist Skinhead",1
2002,"Nevada","General Hate",1
2002,"Nevada","Neo-Nazi",5
2002,"Nevada","Racist Skinhead",2
2002,"Nevada",NA,2
2002,"New Hampshire","Neo-Nazi",2
2002,"New Jersey","Hate Music",1
2002,"New Jersey","Neo-Nazi",12
2002,"New Jersey","White Nationalist",2
2002,"New Jersey",NA,4
2002,"New Mexico","Neo-Nazi",2
2002,"New York","General Hate",2
2002,"New York","Hate Music",1
2002,"New York","Ku Klux Klan",7
2002,"New York","Neo-Confederate",1
2002,"New York","Neo-Nazi",6
2002,"New York","Racist Skinhead",1
2002,"New York","White Nationalist",4
2002,"New York",NA,3
2002,"North Carolina","General Hate",1
2002,"North Carolina","Ku Klux Klan",8
2002,"North Carolina","Neo-Confederate",6
2002,"North Carolina","Neo-Nazi",6
2002,"North Carolina","Racist Skinhead",1
2002,"North Carolina","White Nationalist",3
2002,"North Carolina",NA,6
2002,"North Dakota","Racist Skinhead",1
2002,"Ohio","Christian Identity",1
2002,"Ohio","General Hate",2
2002,"Ohio","Hate Music",1
2002,"Ohio","Ku Klux Klan",5
2002,"Ohio","Neo-Nazi",7
2002,"Ohio","Racist Skinhead",1
2002,"Ohio","White Nationalist",4
2002,"Ohio",NA,5
2002,"Oklahoma","General Hate",1
2002,"Oklahoma","Ku Klux Klan",2
2002,"Oklahoma","Neo-Nazi",1
2002,"Oklahoma","White Nationalist",1
2002,"Oklahoma",NA,1
2002,"Oregon","General Hate",1
2002,"Oregon","Neo-Nazi",3
2002,"Oregon","Racist Skinhead",2
2002,"Pennsylvania","General Hate",1
2002,"Pennsylvania","Ku Klux Klan",5
2002,"Pennsylvania","Neo-Nazi",11
2002,"Pennsylvania","Racist Skinhead",3
2002,"Pennsylvania","White Nationalist",1
2002,"Pennsylvania",NA,1
2002,"Rhode Island","Neo-Nazi",1
2002,"South Carolina","Ku Klux Klan",1
2002,"South Carolina","Neo-Confederate",33
2002,"South Carolina","Neo-Nazi",2
2002,"South Carolina","White Nationalist",4
2002,"South Carolina",NA,2
2002,"South Dakota","Neo-Nazi",1
2002,"Tennessee","Christian Identity",3
2002,"Tennessee","Ku Klux Klan",7
2002,"Tennessee","Neo-Confederate",1
2002,"Tennessee","Neo-Nazi",6
2002,"Tennessee","White Nationalist",5
2002,"Tennessee",NA,2
2002,"Texas","Christian Identity",2
2002,"Texas","Ku Klux Klan",18
2002,"Texas","Neo-Confederate",7
2002,"Texas","Neo-Nazi",10
2002,"Texas","Racist Skinhead",3
2002,"Texas","White Nationalist",2
2002,"Texas",NA,6
2002,"Utah","Neo-Nazi",2
2002,"Virginia","Anti-Immigrant",1
2002,"Virginia","Christian Identity",2
2002,"Virginia","General Hate",2
2002,"Virginia","Ku Klux Klan",4
2002,"Virginia","Neo-Confederate",6
2002,"Virginia","Neo-Nazi",4
2002,"Virginia","White Nationalist",4
2002,"Virginia",NA,2
2002,"Washington","Christian Identity",3
2002,"Washington","General Hate",1
2002,"Washington","Ku Klux Klan",1
2002,"Washington","Neo-Nazi",5
2002,"Washington","Racist Skinhead",2
2002,"Washington","White Nationalist",3
2002,"Washington",NA,1
2002,"West Virginia","Hate Music",1
2002,"West Virginia","Ku Klux Klan",2
2002,"West Virginia","Neo-Nazi",2
2002,"West Virginia","White Nationalist",1
2002,"Wisconsin","Ku Klux Klan",2
2002,"Wisconsin","Neo-Nazi",8
2002,"Wisconsin",NA,1
2002,"Wyoming","Neo-Nazi",2
2002,"Wyoming","White Nationalist",1
2003,"Alabama","Christian Identity",1
2003,"Alabama","Ku Klux Klan",7
2003,"Alabama","Neo-Confederate",5
2003,"Alabama","Neo-Nazi",1
2003,"Alabama","White Nationalist",5
2003,"Alabama",NA,5
2003,"Alaska","Neo-Nazi",1
2003,"Arizona","Christian Identity",1
2003,"Arizona","General Hate",2
2003,"Arizona","Ku Klux Klan",1
2003,"Arizona","Neo-Nazi",2
2003,"Arizona","Racist Skinhead",1
2003,"Arizona",NA,2
2003,"Arkansas","Christian Identity",4
2003,"Arkansas","Hate Music",1
2003,"Arkansas","Ku Klux Klan",10
2003,"Arkansas","Neo-Confederate",1
2003,"Arkansas","Neo-Nazi",3
2003,"Arkansas","White Nationalist",1
2003,"Arkansas",NA,1
2003,"California","Anti-Immigrant",2
2003,"California","Christian Identity",1
2003,"California","General Hate",6
2003,"California","Holocaust Denial",1
2003,"California","Ku Klux Klan",3
2003,"California","Neo-Confederate",1
2003,"California","Neo-Nazi",14
2003,"California","Racist Skinhead",4
2003,"California","White Nationalist",1
2003,"California",NA,12
2003,"Colorado","Christian Identity",1
2003,"Colorado","Hate Music",1
2003,"Colorado","Neo-Confederate",1
2003,"Colorado","Neo-Nazi",3
2003,"Colorado",NA,1
2003,"Connecticut","Ku Klux Klan",1
2003,"Connecticut","Neo-Nazi",1
2003,"Connecticut","Racist Skinhead",1
2003,"Connecticut","White Nationalist",1
2003,"Connecticut",NA,4
2003,"Delaware","Hate Music",1
2003,"Delaware",NA,1
2003,"District of Columbia","Holocaust Denial",1
2003,"District of Columbia","Ku Klux Klan",1
2003,"District of Columbia",NA,3
2003,"Florida","General Hate",2
2003,"Florida","Ku Klux Klan",8
2003,"Florida","Neo-Confederate",6
2003,"Florida","Neo-Nazi",7
2003,"Florida","Racist Skinhead",3
2003,"Florida","White Nationalist",5
2003,"Florida",NA,7
2003,"Georgia","Ku Klux Klan",11
2003,"Georgia","Neo-Confederate",17
2003,"Georgia","Neo-Nazi",4
2003,"Georgia","Racist Skinhead",3
2003,"Georgia","White Nationalist",3
2003,"Georgia",NA,16
2003,"Hawaii",NA,1
2003,"Idaho","Christian Identity",2
2003,"Idaho","Holocaust Denial",1
2003,"Idaho","Neo-Nazi",3
2003,"Idaho","White Nationalist",1
2003,"Illinois","General Hate",1
2003,"Illinois","Ku Klux Klan",2
2003,"Illinois","Neo-Nazi",3
2003,"Illinois",NA,4
2003,"Indiana","General Hate",1
2003,"Indiana","Ku Klux Klan",6
2003,"Indiana","Neo-Nazi",4
2003,"Indiana","Racist Skinhead",1
2003,"Indiana","White Nationalist",2
2003,"Indiana",NA,1
2003,"Iowa","Ku Klux Klan",1
2003,"Iowa","Neo-Nazi",2
2003,"Iowa","White Nationalist",2
2003,"Iowa",NA,1
2003,"Kansas","Anti-LGBTQ",1
2003,"Kansas","Ku Klux Klan",1
2003,"Kansas","Neo-Nazi",4
2003,"Kentucky","Christian Identity",2
2003,"Kentucky","Ku Klux Klan",3
2003,"Kentucky","Neo-Confederate",1
2003,"Kentucky","Neo-Nazi",1
2003,"Kentucky",NA,1
2003,"Louisiana","Christian Identity",2
2003,"Louisiana","Ku Klux Klan",8
2003,"Louisiana","Neo-Confederate",1
2003,"Louisiana","Neo-Nazi",3
2003,"Louisiana","White Nationalist",8
2003,"Louisiana",NA,4
2003,"Maine","Neo-Nazi",1
2003,"Maryland","Ku Klux Klan",2
2003,"Maryland","Neo-Nazi",3
2003,"Maryland","White Nationalist",1
2003,"Maryland",NA,2
2003,"Massachusetts","General Hate",1
2003,"Massachusetts","Neo-Nazi",3
2003,"Massachusetts",NA,3
2003,"Michigan","Christian Identity",2
2003,"Michigan","Ku Klux Klan",4
2003,"Michigan","Neo-Nazi",5
2003,"Michigan","Racist Skinhead",2
2003,"Michigan","White Nationalist",2
2003,"Michigan",NA,2
2003,"Minnesota","Christian Identity",2
2003,"Minnesota","General Hate",1
2003,"Minnesota","Neo-Nazi",3
2003,"Minnesota",NA,1
2003,"Mississippi","General Hate",1
2003,"Mississippi","Ku Klux Klan",6
2003,"Mississippi","Neo-Confederate",3
2003,"Mississippi","Neo-Nazi",1
2003,"Mississippi","White Nationalist",12
2003,"Mississippi",NA,4
2003,"Missouri","Christian Identity",2
2003,"Missouri","Ku Klux Klan",2
2003,"Missouri","Neo-Confederate",1
2003,"Missouri","Neo-Nazi",3
2003,"Missouri","Racist Skinhead",2
2003,"Missouri","White Nationalist",5
2003,"Missouri",NA,3
2003,"Montana","Christian Identity",1
2003,"Montana","Ku Klux Klan",1
2003,"Montana","Neo-Confederate",1
2003,"Nebraska","Christian Identity",1
2003,"Nebraska","Ku Klux Klan",1
2003,"Nebraska","Neo-Nazi",2
2003,"Nebraska",NA,1
2003,"Nevada","General Hate",1
2003,"Nevada","Ku Klux Klan",1
2003,"Nevada","Neo-Nazi",2
2003,"Nevada",NA,2
2003,"New Hampshire","Neo-Nazi",2
2003,"New Jersey","General Hate",1
2003,"New Jersey","Hate Music",1
2003,"New Jersey","Ku Klux Klan",1
2003,"New Jersey","Neo-Nazi",7
